Date,SubscriptionId,ServiceDisplayName,ResourceLocation,CostInBillingCurrency,InstanceId,ResourceGroupName,Tags
2026-06-01 00:00:00,sub-azure-999,Virtual Machines,eastus,65.00,vm-prod-1,rg-prod-web,"environment:Production;team:Frontend;application:WebSaaS"
2026-06-01 00:00:00,sub-azure-999,Virtual Machines,westus,30.00,vm-dev-2,rg-dev-qa,"environment:Development;team:QA;application:AdminPortal"
2026-06-01 00:00:00,sub-azure-999,SQL Database,eastus,42.00,sql-prod-db,rg-prod-data,"environment:Production;team:Backend;application:WebSaaS"
2026-06-01 00:00:00,sub-azure-999,Log Analytics,eastus,15.00,la-workspace-prod,rg-prod-ops,"environment:Production;team:Ops;application:Infrastructure"
2026-06-01 00:00:00,sub-azure-999,Azure Firewall,eastus,28.80,fw-prod-east,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-01 00:00:00,sub-azure-999,VPN Gateway,westus2,11.50,vpn-dev-gateway,rg-dev-network,"environment:Development;team:Ops;application:AdminPortal"
2026-06-01 00:00:00,sub-azure-999,Managed Disks,eastus,5.20,disk-unattached-01,rg-prod-storage,"environment:Production;team:Ops;application:Infrastructure"
2026-06-01 00:00:00,sub-azure-999,Public IP Addresses,eastus,1.80,ip-unused-02,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-02 00:00:00,sub-azure-999,Virtual Machines,eastus,65.00,vm-prod-3,rg-prod-web,"environment:Production;team:Frontend;application:WebSaaS"
2026-06-02 00:00:00,sub-azure-999,Virtual Machines,westus,30.00,vm-dev-4,rg-dev-qa,"environment:Development;team:QA;application:AdminPortal"
2026-06-02 00:00:00,sub-azure-999,SQL Database,eastus,42.00,sql-prod-db,rg-prod-data,"environment:Production;team:Backend;application:WebSaaS"
2026-06-02 00:00:00,sub-azure-999,Log Analytics,eastus,15.00,la-workspace-prod,rg-prod-ops,"environment:Production;team:Ops;application:Infrastructure"
2026-06-02 00:00:00,sub-azure-999,Azure Firewall,eastus,28.80,fw-prod-east,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-02 00:00:00,sub-azure-999,VPN Gateway,westus2,11.50,vpn-dev-gateway,rg-dev-network,"environment:Development;team:Ops;application:AdminPortal"
2026-06-02 00:00:00,sub-azure-999,Managed Disks,eastus,5.20,disk-unattached-01,rg-prod-storage,"environment:Production;team:Ops;application:Infrastructure"
2026-06-02 00:00:00,sub-azure-999,Public IP Addresses,eastus,1.80,ip-unused-02,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-03 00:00:00,sub-azure-999,Virtual Machines,eastus,65.00,vm-prod-5,rg-prod-web,"environment:Production;team:Frontend;application:WebSaaS"
2026-06-03 00:00:00,sub-azure-999,Virtual Machines,westus,30.00,vm-dev-6,rg-dev-qa,"environment:Development;team:QA;application:AdminPortal"
2026-06-03 00:00:00,sub-azure-999,SQL Database,eastus,42.00,sql-prod-db,rg-prod-data,"environment:Production;team:Backend;application:WebSaaS"
2026-06-03 00:00:00,sub-azure-999,Log Analytics,eastus,15.00,la-workspace-prod,rg-prod-ops,"environment:Production;team:Ops;application:Infrastructure"
2026-06-03 00:00:00,sub-azure-999,Azure Firewall,eastus,28.80,fw-prod-east,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-03 00:00:00,sub-azure-999,VPN Gateway,westus2,11.50,vpn-dev-gateway,rg-dev-network,"environment:Development;team:Ops;application:AdminPortal"
2026-06-03 00:00:00,sub-azure-999,Managed Disks,eastus,5.20,disk-unattached-01,rg-prod-storage,"environment:Production;team:Ops;application:Infrastructure"
2026-06-03 00:00:00,sub-azure-999,Public IP Addresses,eastus,1.80,ip-unused-02,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-04 00:00:00,sub-azure-999,Virtual Machines,eastus,65.00,vm-prod-7,rg-prod-web,"environment:Production;team:Frontend;application:WebSaaS"
2026-06-04 00:00:00,sub-azure-999,Virtual Machines,westus,30.00,vm-dev-8,rg-dev-qa,"environment:Development;team:QA;application:AdminPortal"
2026-06-04 00:00:00,sub-azure-999,SQL Database,eastus,42.00,sql-prod-db,rg-prod-data,"environment:Production;team:Backend;application:WebSaaS"
2026-06-04 00:00:00,sub-azure-999,Log Analytics,eastus,15.00,la-workspace-prod,rg-prod-ops,"environment:Production;team:Ops;application:Infrastructure"
2026-06-04 00:00:00,sub-azure-999,Azure Firewall,eastus,28.80,fw-prod-east,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-04 00:00:00,sub-azure-999,VPN Gateway,westus2,11.50,vpn-dev-gateway,rg-dev-network,"environment:Development;team:Ops;application:AdminPortal"
2026-06-04 00:00:00,sub-azure-999,Managed Disks,eastus,5.20,disk-unattached-01,rg-prod-storage,"environment:Production;team:Ops;application:Infrastructure"
2026-06-04 00:00:00,sub-azure-999,Public IP Addresses,eastus,1.80,ip-unused-02,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-05 00:00:00,sub-azure-999,Virtual Machines,eastus,65.00,vm-prod-9,rg-prod-web,"environment:Production;team:Frontend;application:WebSaaS"
2026-06-05 00:00:00,sub-azure-999,Virtual Machines,westus,30.00,vm-dev-10,rg-dev-qa,"environment:Development;team:QA;application:AdminPortal"
2026-06-05 00:00:00,sub-azure-999,SQL Database,eastus,42.00,sql-prod-db,rg-prod-data,"environment:Production;team:Backend;application:WebSaaS"
2026-06-05 00:00:00,sub-azure-999,Log Analytics,eastus,15.00,la-workspace-prod,rg-prod-ops,"environment:Production;team:Ops;application:Infrastructure"
2026-06-05 00:00:00,sub-azure-999,Azure Firewall,eastus,28.80,fw-prod-east,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-05 00:00:00,sub-azure-999,VPN Gateway,westus2,11.50,vpn-dev-gateway,rg-dev-network,"environment:Development;team:Ops;application:AdminPortal"
2026-06-05 00:00:00,sub-azure-999,Managed Disks,eastus,5.20,disk-unattached-01,rg-prod-storage,"environment:Production;team:Ops;application:Infrastructure"
2026-06-05 00:00:00,sub-azure-999,Public IP Addresses,eastus,1.80,ip-unused-02,rg-prod-network,"environment:Production;team:Ops;application:Infrastructure"
2026-06-06 00:00:00,sub-azure-999,Virtual Machines,eastus,65.00,vm-prod-11,rg-prod-web,"environment:Production;team:Frontend;application:WebSaaS"
2026-06-06 00:00:00,sub-azure-999,Virtual Machines,westus,30.00,vm-dev-12,rg-dev-qa,"environment:Development;team:QA;application:AdminPortal"
