lineItem/LineItemId,lineItem/UnblendedCost,lineItem/UsageStartDate,product/ServiceCode,product/region,lineItem/UsageAccountId,lineItem/ResourceId,lineItem/UsageType,resourceTags/user:Environment,resourceTags/user:Team,resourceTags/user:Application
id-aws-1,48.00,2026-06-01T00:00:00Z,AmazonEC2,us-east-1,123456789012,i-0abc123456789def0,BoxUsage:m5.xlarge,Production,Frontend,WebSaaS
id-aws-2,24.00,2026-06-01T00:00:00Z,AmazonEC2,us-west-2,123456789012,i-0dev987654321abc0,BoxUsage:t3.xlarge,Development,QA,AdminPortal
id-aws-3,12.50,2026-06-01T00:00:00Z,AmazonS3,us-east-1,123456789012,s3-media-assets,TimedStorage-ByteHrs,Production,Frontend,WebSaaS
id-aws-4,35.00,2026-06-01T00:00:00Z,AmazonRDS,us-east-1,123456789012,rds-mysql-prod,db.m5.large,Production,Backend,WebSaaS
id-aws-5,18.00,2026-06-01T00:00:00Z,AmazonRDS,us-west-2,123456789012,rds-mysql-replica-dev,db.t3.medium,Development,Backend,AdminPortal
id-aws-6,22.50,2026-06-01T00:00:00Z,AmazonEC2,us-east-1,123456789012,nat-0123456789abcdef0,NatGateway-Hours,Production,Ops,Infrastructure
id-aws-7,3.60,2026-06-01T00:00:00Z,AmazonEC2,us-east-1,123456789012,eipalloc-01234567,ElasticIP:Idle,Development,Ops,Infrastructure
id-aws-8,2.40,2026-06-01T00:00:00Z,AmazonEC2,us-east-1,123456789012,i-0abc123456789def0,PublicIPv4:Charge,Production,Frontend,WebSaaS
id-aws-9,4.50,2026-06-01T00:00:00Z,AmazonEC2,us-east-1,123456789012,vol-0a1b2c3d4e5f6g7h8,EBS:Volume,Staging,Ops,Infrastructure
id-aws-10,6.00,2026-06-01T00:00:00Z,AmazonEC2,us-east-1,123456789012,snap-0987654321fedcba,EBS:Snapshot,Production,Ops,Infrastructure
id-aws-11,8.20,2026-06-01T00:00:00Z,AmazonEC2,us-east-1,123456789012,i-0abc123456789def0,DataTransfer-Regional-Bytes,Production,Backend,WebSaaS
id-aws-12,7.80,2026-06-01T00:00:00Z,AmazonCloudWatch,us-east-1,123456789012,log-group-prod-app,CloudWatch-Logs,Production,Backend,WebSaaS
id-aws-13,12.00,2026-06-01T00:00:00Z,AWSELB,us-west-2,123456789012,alb-dev-internal,ElasticLoadBalancing:Idle,Development,Ops,AdminPortal
id-aws-14,48.00,2026-06-02T00:00:00Z,AmazonEC2,us-east-1,123456789012,i-0abc123456789def0,BoxUsage:m5.xlarge,Production,Frontend,WebSaaS
id-aws-15,24.00,2026-06-02T00:00:00Z,AmazonEC2,us-west-2,123456789012,i-0dev987654321abc0,BoxUsage:t3.xlarge,Development,QA,AdminPortal
id-aws-16,12.50,2026-06-02T00:00:00Z,AmazonS3,us-east-1,123456789012,s3-media-assets,TimedStorage-ByteHrs,Production,Frontend,WebSaaS
id-aws-17,35.00,2026-06-02T00:00:00Z,AmazonRDS,us-east-1,123456789012,rds-mysql-prod,db.m5.large,Production,Backend,WebSaaS
id-aws-18,18.00,2026-06-02T00:00:00Z,AmazonRDS,us-west-2,123456789012,rds-mysql-replica-dev,db.t3.medium,Development,Backend,AdminPortal
id-aws-19,22.50,2026-06-02T00:00:00Z,AmazonEC2,us-east-1,123456789012,nat-0123456789abcdef0,NatGateway-Hours,Production,Ops,Infrastructure
id-aws-20,3.60,2026-06-02T00:00:00Z,AmazonEC2,us-east-1,123456789012,eipalloc-01234567,ElasticIP:Idle,Development,Ops,Infrastructure
id-aws-21,2.40,2026-06-02T00:00:00Z,AmazonEC2,us-east-1,123456789012,i-0abc123456789def0,PublicIPv4:Charge,Production,Frontend,WebSaaS
id-aws-22,4.50,2026-06-02T00:00:00Z,AmazonEC2,us-east-1,123456789012,vol-0a1b2c3d4e5f6g7h8,EBS:Volume,Staging,Ops,Infrastructure
id-aws-23,6.00,2026-06-02T00:00:00Z,AmazonEC2,us-east-1,123456789012,snap-0987654321fedcba,EBS:Snapshot,Production,Ops,Infrastructure
id-aws-24,8.20,2026-06-02T00:00:00Z,AmazonEC2,us-east-1,123456789012,i-0abc123456789def0,DataTransfer-Regional-Bytes,Production,Backend,WebSaaS
id-aws-25,7.80,2026-06-02T00:00:00Z,AmazonCloudWatch,us-east-1,123456789012,log-group-prod-app,CloudWatch-Logs,Production,Backend,WebSaaS
id-aws-26,12.00,2026-06-02T00:00:00Z,AWSELB,us-west-2,123456789012,alb-dev-internal,ElasticLoadBalancing:Idle,Development,Ops,AdminPortal
id-aws-27,48.00,2026-06-03T00:00:00Z,AmazonEC2,us-east-1,123456789012,i-0abc123456789def0,BoxUsage:m5.xlarge,Production,Frontend,WebSaaS
id-aws-28,24.00,2026-06-03T00:00:00Z,AmazonEC2,us-west-2,123456789012,i-0dev987654321abc0,BoxUsage:t3.xlarge,Development,QA,AdminPortal
id-aws-29,12.50,2026-06-03T00:00:00Z,AmazonS3,us-east-1,123456789012,s3-media-assets,TimedStorage-ByteHrs,Production,Frontend,WebSaaS
